#{"t_start": 1760788861.0654204, "env_id": "None"}
r,l,t
-10.118149,38,1291.087157
-10.194055,19,1291.431547
12.431409,25,1291.819122
14.753273,18,1292.179257
19.469624,97,1293.808203
14.353886,24,1294.298043
18.973952,97,1295.840614
16.058284,68,1296.993215
15.390669,57,1298.104145
17.523411,50,1298.897912
15.150134,45,1299.775061
14.32366,25,1300.26791
14.820353,22,1300.745244
14.619233,39,1301.331945
13.546096,22,1301.751391
-12.788179,25,1302.285721
15.240163,32,1302.825353
14.192382,15,1303.154492
13.851272,31,1303.674476
15.786082,35,1304.165119
14.595489,28,1304.423476
18.835413,75,1305.664925
15.599752,28,1305.969135
16.076578,28,1306.278484
13.489278,14,1306.553445
18.05776,41,1306.801141
-10.436802,21,1307.175795
16.017451,27,1307.452575
-9.786831,20,1307.817962
14.717824,19,1308.124153
16.085622,274,1312.881181
16.450033,44,1313.654838
-9.691808,36,1314.272989
14.238259,30,1314.668622
15.115961,17,1314.881936
-7.05756,75,1316.264334
20.797974,60,1316.948264
14.021221,35,1317.281543
-8.539135,40,1317.916295
14.905175,35,1318.495245
15.528155,42,1318.959339
17.203476,52,1319.590233
17.379514,54,1320.387028
15.247761,25,1320.617494
-12.246413,15,1320.907572
19.68439,82,1322.320967
13.622204,15,1322.647213
13.348537,13,1322.865265
14.410102,19,1323.189652
15.850866,15,1323.474966
12.868051,13,1323.752915
15.332122,23,1323.969349
16.922415,37,1324.541375
16.54098,37,1325.107136
24.611017,163,1327.888752
-10.676053,37,1328.658529
17.985054,77,1329.57222
24.687085,585,1339.313333
15.024455,182,1342.771118
14.237043,28,1343.106928
18.333338,75,1344.402524
19.225688,84,1345.817359
15.271713,25,1346.144722
-10.845487,18,1346.526652
19.661633,129,1348.463154
14.413244,15,1348.792076
14.181211,29,1349.262161
21.349473,171,1352.030192
12.336126,79,1353.426917
16.542882,32,1353.951264
14.654614,33,1354.566044
13.864844,18,1354.916483
12.80213,25,1355.27297
13.477814,11,1355.480043
14.441687,42,1356.247167
14.407971,22,1356.437261
18.215405,58,1357.697622
13.353234,12,1357.890692
13.751369,34,1358.338308
17.513672,65,1359.375463
19.230604,224,1363.39987
23.831718,121,1365.237234
15.374499,24,1365.567516
23.320937,105,1366.899014
15.086364,9,1367.085909
14.498545,14,1367.39029
15.16471,38,1368.162777
13.470566,10,1368.367704
16.930391,37,1368.881231
14.798711,33,1369.47404
-11.641032,8,1369.650213
-3.871786,77,1370.574474
16.288655,38,1371.321296
-12.489129,36,1371.99837
15.316933,22,1372.496388
-10.52737,22,1372.770646
15.801007,43,1373.380799
17.346473,58,1374.530405
19.34739,93,1376.156204
18.576571,91,1377.434306
16.250311,34,1377.879879
16.278168,61,1378.869177
14.118985,24,1379.234623
15.029184,35,1379.826398
17.682827,66,1380.981089
-4.877592,564,1390.998634
14.526088,43,1391.691546
14.363496,21,1392.154074
17.34115,40,1392.981189
17.869604,47,1393.747694
14.39258,9,1393.926828
22.34888,104,1395.713552
18.189251,39,1396.31621
13.779688,17,1396.639149
17.952986,74,1397.862497
19.408016,66,1398.543159
14.320389,20,1398.750415
15.112502,29,1399.101553
15.972777,81,1400.313974
-11.727729,45,1401.075677
18.185109,47,1401.618672
18.998703,82,1403.347402
-10.022309,15,1403.657437
15.518508,24,1404.063319
14.24534,76,1405.461556
-10.252112,28,1405.927132
13.287354,20,1406.146079
16.58882,25,1406.661727
17.428493,77,1407.945727
15.020555,33,1408.28694
28.723627,377,1414.496944
15.845705,11,1414.74754
12.962545,54,1415.463636
17.754658,58,1416.2975
13.83132,11,1416.548853
12.612241,31,1417.04937
15.10088,24,1417.295125
14.140899,43,1417.964146
14.648232,31,1418.447242
13.171533,13,1418.734351
25.155109,151,1421.176057
21.232085,154,1423.90368
15.442938,32,1424.464622
14.239555,15,1424.751037
13.470679,16,1425.003992
11.530122,38,1425.692917
14.649125,66,1426.821973
18.230883,49,1427.443837
24.738068,139,1429.422881
15.122555,46,1430.047599
