#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-13.14676,22,447.578695
-13.458656,22,448.129546
-12.585609,14,448.487978
-13.060353,20,448.99189
-12.616839,19,449.4712
-13.530496,32,450.241866
-13.661037,35,451.107342
-12.436908,8,451.300459
-18.071588,66,452.911757
-14.008149,27,453.586105
-12.492721,14,453.945256
-12.833267,18,454.397649
-12.808459,13,454.731698
-14.034261,43,455.76695
-13.918604,39,456.726243
-12.866953,17,457.155704
-12.770854,23,457.72833
-13.086506,26,458.381986
-13.164908,29,459.101628
-14.441275,46,460.192916
-32.125093,95,462.709957
-12.77361,11,462.956177
-13.267153,25,463.581979
-13.441103,46,464.523767
-14.82517,71,466.270467
-18.71381,47,467.428041
-15.102345,62,468.951805
-13.08055,17,469.393956
-12.951678,19,469.882477
-12.650044,17,470.325673
-12.341282,9,470.569685
-12.617724,18,471.028397
12.101247,17,471.458934
-12.91539,14,471.817349
6.356384,85,473.865355
-13.842255,33,474.66153
-26.555203,109,477.30097
-12.614491,20,477.804353
-13.55411,37,478.730743
-12.307321,7,478.919173
-12.749915,12,479.239416
11.162022,47,480.399106
-12.670605,10,480.662311
-14.652849,68,482.346186
-12.606492,15,482.726722
-12.676813,15,483.107404
-12.432734,8,483.321206
-14.428032,29,484.039055
-12.271837,7,484.226973
-12.340214,16,484.633544
-41.490423,139,488.038254
-16.468538,64,489.619438
-13.470567,34,490.460344
-19.524895,91,492.675595
-13.959166,27,493.346911
-12.473193,13,493.678706
-13.359619,35,494.541627
-12.873616,25,495.141038
-15.043348,77,496.994451
-12.426477,10,497.25482
-14.247548,35,498.133241
-16.893609,86,500.253471
-13.064598,30,500.995397
-13.226955,19,501.4778
-53.837614,214,506.680226
-12.521093,19,507.161824
-12.955046,25,507.786763
-41.441683,167,511.924119
-13.295704,47,513.080715
-38.210933,255,519.292461
-13.19945,21,519.822673
-0.926038,285,526.760153
-12.477193,11,527.047183
-14.614623,50,528.263624
-12.741353,15,528.612079
-17.988962,123,531.624585
11.720523,16,532.031796
-13.561214,30,532.778151
-22.980551,184,537.27652
11.847823,15,537.659911
-14.964481,72,539.430594
-12.614783,13,539.764014
-13.815725,34,540.608097
-12.333905,8,540.822308
-13.320011,25,541.464183
-12.534415,19,541.951306
-12.204039,9,542.189208
-16.021988,80,544.200784
-12.828905,25,544.828218
-12.659449,12,545.138826
-14.389032,67,546.804549
-36.284973,210,551.942744
-12.894529,21,552.473731
12.190517,10,552.736516
-13.969825,40,553.908972
-23.686095,138,557.23866
-19.158672,98,559.645995
13.034343,29,560.351677
-18.410561,112,563.092118
-27.967011,183,567.64096
-12.448621,10,567.904387
-16.275586,82,569.932587
-26.508696,95,572.292054
-12.967228,18,572.751678
-12.269944,7,572.94091
-12.691889,12,573.25422
-12.280268,11,573.542051
-14.583428,59,574.997407
-29.862793,125,578.051354
-12.52581,27,578.735803
-12.644828,15,579.123022
-14.700548,59,580.552985
-23.834884,129,583.698964
-38.070694,188,588.27751
-15.831023,48,589.443413
-12.567868,11,589.709642
9.929818,74,591.411743
-41.642145,186,595.962412
-16.796313,96,598.312026
-14.181312,32,599.115519
-15.29334,43,599.838417
-14.794726,58,601.444842
-51.947555,228,607.033312
11.678644,21,607.576025
-12.983233,20,608.078802
-12.578123,9,608.324877
-12.861694,18,608.789871
-12.620694,14,609.148755
-13.072992,49,610.364676
-13.468324,26,611.029048
-18.456513,107,613.645911
-12.976119,27,614.339088
-38.583137,223,619.791578
-13.430589,31,620.564566
-12.391103,22,621.11744
-16.994363,96,623.47351
-12.739387,17,623.905783
-24.608752,76,625.772116
-31.795941,219,631.174795
-13.153784,33,632.023923
-12.992189,18,632.501254
-13.118858,17,633.124709
-14.084097,29,633.813266
-13.274324,34,634.658533
-16.31182,42,635.706044
-12.404877,9,635.945331
11.410587,52,637.230648
-12.810749,13,637.573547
-32.689514,150,641.218273
-16.344582,81,643.205723
-46.394929,258,649.493592
-13.827618,37,650.397609
10.756276,45,651.497077
-13.517713,29,652.248484
-17.719286,79,654.206188
-14.068862,31,654.984887
12.230526,11,655.453213
-12.35037,14,655.772476
11.797349,17,656.20447
-14.135356,52,657.670135
-11.701797,6,657.815288
-12.883762,19,658.300168
-12.601149,11,658.594628
-14.719643,51,659.874507
-12.249694,10,660.138425
-13.138562,24,660.741728
-15.079576,48,661.922856
11.951794,27,662.598095
-13.026016,27,663.293338
5.029508,106,665.888222
-12.910041,16,666.298395
-17.298855,97,668.682089
-13.410791,32,669.47388
-15.84329,61,670.969792
-12.871468,27,671.625748
-11.514158,13,671.960675
-15.490955,77,673.855586
11.003669,45,674.911907
-12.942502,24,675.519488
-12.953304,26,676.170705
-13.640803,33,676.989756
11.91629,21,677.530803
-12.308924,10,677.813592
-12.657057,17,678.25123
-13.208413,20,678.740183
11.74702,16,679.150034
-12.485337,13,679.485761
-54.984187,380,688.88698
11.406351,25,689.511891
-13.222516,26,690.161562
-12.485439,9,690.380912
-12.607934,11,690.676516
-12.897157,20,691.194448
-11.78751,11,691.480041
-79.653515,321,699.284879
-12.9858,40,700.273263
-15.680335,94,702.556913
-15.558335,42,703.610851
11.642433,22,704.165553
-13.204408,24,704.773683
-15.869391,51,706.03521
-12.587674,16,706.444518
-16.58957,61,707.966169
11.850975,10,708.229095
-20.999774,123,711.268826
-12.612691,19,711.74999
-12.677069,24,712.355775
-12.661198,12,712.604091
-12.438696,16,713.191767
-15.414813,43,714.192477
-13.59625,32,714.992139
-12.411356,10,715.258794
-13.388659,25,715.900951
-12.461349,12,716.216879
